Flight_Number,Route,Delay_Cluster,Cascading_Impact_Score
AI2632,BOM-BLR,2,38.33166666666667
SG2905,BOM-IXY,0,56.11333333333334
AI2841,BOM-GOI,2,40.73166666666666
6E5217,BOM-BLR,2,50.296666666666674
AI2419,BOM-DEL,2,49.94666666666667
AI2471,BOM-CCU,3,23.703333333333333
SQ421,BOM-SIN,1,62.30166666666667
6E5206,BOM-MAA,2,49.656666666666666
6E5097,BOM-HYD,0,61.27333333333333
AI2503,BOM-CJB,2,30.971666666666668
6E5276,BOM-GWL,2,34.543333333333344
AI2509,BOM-IXC,3,24.899999999999995
AI2625,BOM-HYD,2,36.055
6E762,BOM-DEL,3,17.2
QP1891,BOM-SXR,3,28.289999999999996
6E5352,BOM-BLR,3,9.89
6E1185,BOM-CMB,2,41.33
6E5349,BOM-NAG,3,4.333333333333334
QO342,BOM-DEL,3,17.106666666666666
6E6794,BOM-UDR,3,12.396666666666665
6E446,BOM-AMD,3,29.63333333333333
6E5223,BOM-RPR,3,17.66333333333333
OV760,BOM-MCT,2,31.196666666666665
6E5188,BOM-MAA,3,10.591666666666667
GF57,BOM-BAH,0,56.96833333333334
AI2603,BOM-BLR,3,20.259999999999998
AI2428,BOM-DEL,3,30.06
TK721,BOM-IST,1,49.54833333333333
6E294,BOM-IDR,3,6.363333333333334
AI2771,BOM-CCU,3,17.2
6E1601,BOM-CGK,1,22.806666666666665
AI2739,BOM-MAA,3,16.821666666666665
QP1518,BOM-COK,2,54.078333333333326
AI645,BOM-JDH,2,37.28666666666667
6E6057,BOM-GOX,3,29.12666666666666
AI2863,BOM-BLR,2,34.34
AI2960,BOM-DEL,3,32.21
BA134,BOM-LHR,1,64.03
S5161,BOM-KLH,2,31.161666666666665
6E1305,BOM-DOH,0,68.34333333333333
AI2663,BOM-SXR,2,28.559999999999995
6E1115,BOM-DAC,2,48.70333333333333
6E2264,BOM-IXC,2,49.2
AI2579,BOM-UDR,0,59.60666666666667
6E5092,BOM-BLR,3,30.55333333333333
6E5313,BOM-MAA,2,45.595
AI2430,BOM-DEL,2,39.76833333333334
6E5165,BOM-CCU,2,45.861666666666665
AI2107,BOM-SIN,1,59.975
AI2877,BOM-HYD,2,45.22
6E791,BOM-JLR,3,29.726666666666663
EK505,BOM-DXB,2,48.01500000000001
AI695,BOM-VNS,2,35.88333333333334
6E5181,BOM-IDR,2,39.20166666666666
6E521,BOM-ATQ,2,40.48666666666668
AI633,BOM-BHO,0,64.9
AI2994,BOM-DEL,0,61.98500000000001
6E535,BOM-DBR,0,70.72666666666667
6E624,BOM-TRV,0,62.623333333333335
6E6118,BOM-TRZ,0,63.755
6E6087,BOM-CNN,0,54.435
6E5321,BOM-HSR,0,60.07833333333333
QP1529,BOM-DBR,0,75.13000000000001
AI673,BOM-PAT,0,52.43833333333334
VS355,BOM-LHR,1,60.55833333333333
6E673,BOM-COK,0,60.64333333333333
AI611,BOM-JAI,2,29.515
AI647,BOM-JGA,0,60.31666666666667
AI2444,BOM-HYD,0,60.651666666666664
QP1385,BOM-IXB,0,75.975
ET641,BOM-ADD,0,68.06
SV771,BOM-JED,0,60.421666666666674
6E1157,BOM-KTM,0,66.06666666666668
EY201,BOM-AUH,0,53.928333333333335
6E5307,BOM-GOI,0,71.12
6E5316,BOM-BEK,0,71.48666666666666
6E6827,BOM-DEL,0,68.075
9I623,BOM-DIU,0,99.14
AI2632,BOM-BLR,0,67.54666666666667
SG2905,BOM-IXY,0,70.29833333333335
AI2841,BOM-GOI,0,53.665
6E5217,BOM-BLR,0,62.62833333333334
AI2419,BOM-DEL,2,40.98
AI2471,BOM-CCU,2,38.36666666666667
SQ421,BOM-SIN,1,58.74333333333333
6E5206,BOM-MAA,0,67.335
6E5097,BOM-HYD,0,67.03333333333332
AI2503,BOM-CJB,3,26.488333333333333
6E5276,BOM-GWL,2,42.018333333333345
AI2509,BOM-IXC,3,19.499999999999996
AI2625,BOM-HYD,2,36.03666666666666
6E762,BOM-DEL,3,16.605
QP1891,BOM-SXR,3,21.993333333333332
6E5352,BOM-BLR,3,7.7716666666666665
6E1185,BOM-CMB,0,58.72500000000001
6E5349,BOM-NAG,3,4.670000000000001
QO342,BOM-DEL,3,9.31
6E6794,BOM-UDR,3,21.974999999999998
6E446,BOM-AMD,3,24.848333333333333
6E5223,BOM-RPR,3,9.844999999999999
OV760,BOM-MCT,2,33.57
6E5188,BOM-MAA,3,28.903333333333332
GF57,BOM-BAH,2,49.51500000000001
AI2603,BOM-BLR,3,23.828333333333333
AI2428,BOM-DEL,2,33.96833333333333
TK721,BOM-IST,1,37.25166666666667
6E294,BOM-IDR,3,21.626666666666665
AI2771,BOM-CCU,3,9.133333333333333
6E1601,BOM-CGK,1,33.278333333333336
AI2739,BOM-MAA,3,15.051666666666668
QP1518,BOM-COK,0,67.56666666666666
AI645,BOM-JDH,2,38.225
6E6057,BOM-GOX,3,28.529999999999998
AI2863,BOM-BLR,3,20.846666666666664
AI2960,BOM-DEL,2,36.074999999999996
BA134,BOM-LHR,1,67.04833333333335
S5161,BOM-KLH,2,38.97833333333334
6E1305,BOM-DOH,0,66.87333333333333
AI2663,BOM-SXR,2,36.97
6E1115,BOM-DAC,2,42.73833333333334
6E2264,BOM-IXC,2,51.58166666666666
AI2579,BOM-UDR,0,69.22333333333333
6E5092,BOM-BLR,3,30.281666666666663
6E5313,BOM-MAA,0,66.60666666666667
AI2430,BOM-DEL,2,44.626666666666665
6E5165,BOM-CCU,2,34.16833333333334
AI2107,BOM-SIN,1,38.638333333333335
AI2877,BOM-HYD,0,53.25833333333333
6E791,BOM-JLR,2,36.05333333333334
EK505,BOM-DXB,2,48.620000000000005
AI695,BOM-VNS,3,22.679999999999996
6E5181,BOM-IDR,2,47.255
6E521,BOM-ATQ,2,43.50666666666667
AI633,BOM-BHO,0,60.69833333333334
AI2994,BOM-DEL,2,37.67333333333333
6E535,BOM-DBR,0,65.255
6E624,BOM-TRV,0,71.91166666666666
6E6118,BOM-TRZ,0,64.08833333333332
6E6087,BOM-CNN,2,48.73833333333334
6E5321,BOM-HSR,0,58.254999999999995
QP1529,BOM-DBR,0,87.42333333333333
AI673,BOM-PAT,0,55.77833333333334
VS355,BOM-LHR,1,69.56333333333333
6E673,BOM-COK,0,63.67666666666666
AI611,BOM-JAI,2,33.71166666666667
AI647,BOM-JGA,0,55.82833333333334
AI2444,BOM-HYD,0,67.235
QP1385,BOM-IXB,0,64.9
ET641,BOM-ADD,0,65.32666666666667
SV771,BOM-JED,2,42.71000000000001
6E1157,BOM-KTM,0,71.42
EY201,BOM-AUH,2,50.34166666666667
6E5307,BOM-GOI,0,54.900000000000006
6E5316,BOM-BEK,0,76.83000000000001
6E6827,BOM-DEL,0,70.49333333333333
9I623,BOM-DIU,0,91.05166666666666
AI2632,BOM-BLR,0,60.90833333333334
SG2905,BOM-IXY,0,66.37
AI2841,BOM-GOI,0,60.56
6E5217,BOM-BLR,2,38.058333333333344
AI2419,BOM-DEL,2,46.90500000000001
AI2471,BOM-CCU,2,36.89333333333334
SQ421,BOM-SIN,1,67.43666666666667
6E5206,BOM-MAA,0,66.76833333333333
6E5097,BOM-HYD,0,58.92666666666666
AI2503,BOM-CJB,2,30.66333333333333
6E5276,BOM-GWL,2,44.730000000000004
AI2509,BOM-IXC,2,34.800000000000004
AI2625,BOM-HYD,2,37.57833333333333
6E762,BOM-DEL,3,10.015
QP1891,BOM-SXR,2,30.66833333333333
6E5352,BOM-BLR,3,15.301666666666666
6E1185,BOM-CMB,0,55.75000000000001
6E5349,BOM-NAG,3,17.863333333333333
QO342,BOM-DEL,3,12.645
6E6794,BOM-UDR,3,5.495
6E446,BOM-AMD,3,23.60333333333333
6E5223,BOM-RPR,3,28.134999999999998
OV760,BOM-MCT,2,42.31833333333334
6E5188,BOM-MAA,3,14.213333333333333
GF57,BOM-BAH,2,53.685
AI2603,BOM-BLR,2,38.540000000000006
AI2428,BOM-DEL,3,21.12333333333333
TK721,BOM-IST,1,40.51333333333334
6E294,BOM-IDR,3,6.6000000000000005
AI2771,BOM-CCU,3,20.208333333333332
6E1601,BOM-CGK,1,41.405
AI2739,BOM-MAA,2,34.27833333333333
QP1518,BOM-COK,0,55.03333333333333
AI645,BOM-JDH,2,35.190000000000005
6E6057,BOM-GOX,3,25.534999999999997
AI2863,BOM-BLR,3,17.22833333333333
AI2960,BOM-DEL,3,17.161666666666665
BA134,BOM-LHR,1,67.59166666666667
S5161,BOM-KLH,2,39.27666666666667
6E1305,BOM-DOH,0,69.86166666666666
AI2663,BOM-SXR,2,39.96666666666667
6E1115,BOM-DAC,2,38.248333333333335
6E2264,BOM-IXC,0,55.775
AI2579,BOM-UDR,0,82.73166666666667
6E5092,BOM-BLR,3,20.121666666666666
6E5313,BOM-MAA,2,47.07
AI2430,BOM-DEL,0,57.47166666666667
6E5165,BOM-CCU,2,39.01500000000001
AI2107,BOM-SIN,1,47.05166666666667
AI2877,BOM-HYD,2,34.681666666666665
6E791,BOM-JLR,2,41.39666666666667
EK505,BOM-DXB,2,50.74
AI695,BOM-VNS,2,28.686666666666664
6E5181,BOM-IDR,2,40.06666666666667
6E521,BOM-ATQ,2,46.48500000000001
AI633,BOM-BHO,0,54.116666666666674
AI2994,BOM-DEL,0,61.06
6E535,BOM-DBR,0,68.32500000000002
6E624,BOM-TRV,0,65.91666666666666
6E6118,BOM-TRZ,0,66.47166666666668
6E6087,BOM-CNN,0,70.64166666666667
6E5321,BOM-HSR,0,54.718333333333334
QP1529,BOM-DBR,0,86.22666666666666
AI673,BOM-PAT,2,45.26166666666668
VS355,BOM-LHR,1,59.03333333333333
6E673,BOM-COK,0,68.75166666666668
AI611,BOM-JAI,2,33.435
AI647,BOM-JGA,0,54.63666666666667
AI2444,BOM-HYD,0,65.73
QP1385,BOM-IXB,0,61.290000000000006
ET641,BOM-ADD,1,52.43000000000001
SV771,BOM-JED,0,60.366666666666674
6E1157,BOM-KTM,0,72.37333333333333
EY201,BOM-AUH,2,44.64000000000001
6E5307,BOM-GOI,0,54.88166666666667
6E5316,BOM-BEK,0,62.13666666666667
6E6827,BOM-DEL,0,67.75333333333333
9I623,BOM-DIU,0,86.54333333333334
AI2632,BOM-BLR,2,53.70166666666667
SG2905,BOM-IXY,0,77.45833333333333
AI2841,BOM-GOI,2,45.895
6E5217,BOM-BLR,2,49.71833333333334
AI2419,BOM-DEL,2,35.54666666666666
AI2471,BOM-CCU,2,45.26166666666667
SQ421,BOM-SIN,0,70.76166666666667
6E5206,BOM-MAA,0,63.18
6E5097,BOM-HYD,0,76.32166666666666
AI2503,BOM-CJB,2,37.013333333333335
6E5276,BOM-GWL,2,29.756666666666664
AI2509,BOM-IXC,2,39.9
AI2625,BOM-HYD,3,25.901666666666664
6E762,BOM-DEL,3,21.083333333333332
QP1891,BOM-SXR,2,36.7
6E5352,BOM-BLR,3,21.926666666666666
6E1185,BOM-CMB,2,43.47833333333334
6E5349,BOM-NAG,3,4.635000000000001
QO342,BOM-DEL,3,21.306666666666665
6E6794,BOM-UDR,3,14.211666666666666
6E446,BOM-AMD,3,11.941666666666665
6E5223,BOM-RPR,3,27.516666666666662
OV760,BOM-MCT,2,48.315000000000005
6E5188,BOM-MAA,3,14.238333333333333
GF57,BOM-BAH,2,46.48666666666668
AI2603,BOM-BLR,3,25.025
AI2428,BOM-DEL,2,36.086666666666666
TK721,BOM-IST,1,56.16166666666667
6E294,BOM-IDR,3,20.184999999999995
AI2771,BOM-CCU,3,22.62666666666667
6E1601,BOM-CGK,1,34.81833333333334
AI2739,BOM-MAA,3,11.766666666666667
QP1518,BOM-COK,0,71.16499999999999
AI645,BOM-JDH,2,40.635000000000005
6E6057,BOM-GOX,3,17.148333333333333
AI2863,BOM-BLR,3,29.215
AI2960,BOM-DEL,3,22.89666666666667
BA134,BOM-LHR,1,74.20666666666666
S5161,BOM-KLH,0,50.08833333333334
6E1305,BOM-DOH,0,65.10166666666666
AI2663,BOM-SXR,3,26.15333333333333
6E1115,BOM-DAC,2,36.7
6E2264,BOM-IXC,2,45.57333333333333
AI2579,BOM-UDR,0,60.203333333333326
6E5092,BOM-BLR,3,15.555
6E5313,BOM-MAA,0,62.06166666666667
AI2430,BOM-DEL,2,43.71333333333334
6E5165,BOM-CCU,2,30.571666666666665
AI2107,BOM-SIN,1,41.93
AI2877,BOM-HYD,2,46.065000000000005
6E791,BOM-JLR,3,26.72833333333333
EK505,BOM-DXB,2,36.005
AI695,BOM-VNS,3,24.146666666666665
6E5181,BOM-IDR,2,51.15833333333333
6E521,BOM-ATQ,2,39.325
AI633,BOM-BHO,0,58.586666666666666
AI2994,BOM-DEL,2,34.66166666666666
6E535,BOM-DBR,0,70.03833333333334
6E624,BOM-TRV,0,58.72
6E6118,BOM-TRZ,0,67.33500000000001
6E6087,BOM-CNN,0,62.24166666666667
6E5321,BOM-HSR,0,55.89000000000001
QP1529,BOM-DBR,0,85.325
AI673,BOM-PAT,2,36.56
VS355,BOM-LHR,1,59.01
6E673,BOM-COK,0,79.54833333333333
AI611,BOM-JAI,2,34.96833333333334
AI647,BOM-JGA,2,48.93833333333333
AI2444,BOM-HYD,2,45.61333333333334
QP1385,BOM-IXB,0,66.33166666666668
ET641,BOM-ADD,0,59.63333333333333
SV771,BOM-JED,2,41.19833333333334
6E1157,BOM-KTM,0,78.91833333333334
EY201,BOM-AUH,2,50.661666666666676
6E5307,BOM-GOI,0,58.79833333333333
6E5316,BOM-BEK,0,60.351666666666674
6E6827,BOM-DEL,0,74.64333333333333
9I623,BOM-DIU,0,108.47
AI2632,BOM-BLR,0,63.97166666666667
SG2905,BOM-IXY,0,71.78833333333334
AI2841,BOM-GOI,0,62.07666666666667
6E5217,BOM-BLR,2,41.96
AI2419,BOM-DEL,2,46.61833333333334
AI2471,BOM-CCU,2,35.980000000000004
SQ421,BOM-SIN,1,63.535
6E5206,BOM-MAA,0,69.44666666666666
6E5097,BOM-HYD,0,75.13499999999999
AI2503,BOM-CJB,3,14.216666666666665
6E5276,BOM-GWL,2,47.685
AI2509,BOM-IXC,3,14.999999999999998
AI2625,BOM-HYD,2,37.821666666666665
6E762,BOM-DEL,3,22.311666666666664
QP1891,BOM-SXR,3,26.209999999999997
6E5352,BOM-BLR,3,13.796666666666667
6E1185,BOM-CMB,2,50.04333333333334
6E5349,BOM-NAG,3,25.04833333333333
QO342,BOM-DEL,3,24.666666666666668
6E6794,BOM-UDR,3,12.725
6E446,BOM-AMD,3,18.831666666666663
6E5223,BOM-RPR,2,34.138333333333335
OV760,BOM-MCT,2,41.138333333333335
6E5188,BOM-MAA,3,12.709999999999999
GF57,BOM-BAH,2,49.47166666666668
AI2603,BOM-BLR,3,19.634999999999998
AI2428,BOM-DEL,2,36.656666666666666
TK721,BOM-IST,1,40.26500000000001
6E294,BOM-IDR,3,4.84
AI2771,BOM-CCU,3,25.889999999999997
6E1601,BOM-CGK,1,33.028333333333336
AI2739,BOM-MAA,3,9.063333333333334
QP1518,BOM-COK,0,60.35
AI645,BOM-JDH,3,28.61333333333333
6E6057,BOM-GOX,2,41.708333333333336
AI2863,BOM-BLR,3,22.986666666666665
AI2960,BOM-DEL,3,21.083333333333332
BA134,BOM-LHR,1,55.61333333333333
S5161,BOM-KLH,0,49.43166666666667
6E1305,BOM-DOH,2,51.6
AI2663,BOM-SXR,3,26.119999999999997
6E1115,BOM-DAC,2,41.19833333333334
6E2264,BOM-IXC,0,59.97833333333333
AI2579,BOM-UDR,0,84.85333333333332
6E5092,BOM-BLR,3,15.331666666666663
6E5313,BOM-MAA,0,58.763333333333335
AI2430,BOM-DEL,2,49.705000000000005
6E5165,BOM-CCU,2,37.47833333333333
AI2107,BOM-SIN,1,34.44
AI2877,BOM-HYD,2,34.041666666666664
6E791,BOM-JLR,3,27.28833333333333
EK505,BOM-DXB,2,44.70666666666667
AI695,BOM-VNS,3,24.465
6E5181,BOM-IDR,2,49.361666666666665
6E521,BOM-ATQ,2,37.223333333333336
AI633,BOM-BHO,0,57.388333333333335
AI2994,BOM-DEL,2,50.86666666666667
6E535,BOM-DBR,0,71.285
6E624,BOM-TRV,0,68.32333333333334
6E6118,BOM-TRZ,0,66.16666666666666
6E6087,BOM-CNN,0,53.245000000000005
6E5321,BOM-HSR,2,43.57500000000001
