Hour_Adjustment,Minute_Adjustment,New_STD_Hour,New_STD_Minute,Predicted_Delay,Delay_Improvement,New_STD_Time
-2,0,4,0,65.46957893415728,11.530421065842717,04:00
-2,15,4,15,65.80157552183333,11.198424478166672,04:15
-2,30,4,30,66.13357210950939,10.866427890490613,04:30
-1,0,5,0,67.4203041123582,9.579695887641805,05:00
-1,15,5,15,67.75230070003424,9.24769929996576,05:15
-1,30,5,30,68.08429728771031,8.915702712289686,05:30
0,0,6,0,76.42825668073714,0.5717433192628647,06:00
0,15,6,15,76.76025326841318,0.2397467315868198,06:15
0,30,6,30,77.09224985608923,-0.09224985608922509,06:30
1,0,7,0,75.66916717758939,1.3308328224106134,07:00
1,15,7,15,76.00116376526545,0.9988362347345543,07:15
1,30,7,30,76.33316035294149,0.6668396470585094,07:30
2,0,8,0,74.91007767444164,2.089922325558362,08:00
2,15,8,15,75.2420742621177,1.757925737882303,08:15
2,30,8,30,75.57407084979374,1.425929150206258,08:30
